,genre,total_gross,opening_gross
0,Action,1978925666.0,707967786.0
1,Action / Adventure,5800190631.0,2134797989.0
2,Action Comedy,444079526.0,134139878.0
3,Action Drama,280571899.0,58440352.0
4,Action Fantasy,27367660.0,10812861.0
5,Action Horror,56280355.0,23514615.0
6,Action Thriller,81275411.0,27694199.0
7,Adventure,458419735.0,130401472.0
8,Animation,5066188397.0,1410317619.0
9,Comedy,3009291786.0,898100256.0
10,Comedy / Drama,288806936.0,69803620.0
11,Comedy Thriller,36261763.0,11203270.0
12,Concert,23591043.0,11767210.0
13,Crime Drama,187334963.0,65078526.0
14,Drama,2807736788.0,523639718.0
15,Drama / Thriller,41012075.0,14788157.0
16,Family,304139920.0,86869652.0
17,Family Adventure,190788002.0,43959246.0
18,Family Comedy,137070100.0,31292285.0
19,Fantasy,1101415538.0,334789065.0
20,Fantasy Drama,45090374.0,12305016.0
21,Historical Epic,26410477.0,11203815.0
22,Horror,904654409.0,367690860.0
23,Horror Comedy,324362771.0,114432084.0
24,Horror Thriller,89217875.0,26411706.0
25,Music Drama,30703100.0,13585915.0
26,Musical,412062450.0,61114337.0
27,Period Action,106580051.0,45038460.0
28,Romance,286624635.0,126918232.0
29,Romantic Comedy,192097182.0,75125847.0
30,Romantic Thriller,40098064.0,12701743.0
31,Sci-Fi,592166787.0,152963147.0
32,Sci-Fi Action,1160260006.0,429280483.0
33,Sci-Fi Adventure,982189967.0,302885196.0
34,Sci-Fi Fantasy,936662225.0,247966675.0
35,Sci-Fi Thriller,127870820.0,32750068.0
36,Sports Drama,139910237.0,39701569.0
37,Thriller,1177872963.0,384942498.0
38,War,85817906.0,23702421.0
39,War Drama,115637895.0,30621445.0
40,Western,147550071.0,39314073.0
41,Western Comedy,43139300.0,16797385.0
